text,username,time,image,location,engagement,label
"RED TIDE IS VERY SEVERE YET ALL THE WAY UP TO PASCO COUNTY FL. RESPIRATORY PROBLEMS. THE SAND ALSO HAS IT IN IT, REMEMBER THAT. It is not good to be around it, especially if you are older. CITRUS COUNTY ALSO STILL REPORTING RED TIDE.. ",mousymama,{'$date': '2018-11-12T00:00:00Z'},https://pbs.twimg.com/profile_images/895775093573513216/QtEl1Yeo_normal.jpg,Pasco,0,other
Hey @VernBuchanan have you returned your #BigSugar money that killed these Dolphins in the #RedTide? #RedTideVern #FL16 #FLPol . https   www abcactionnews com news region sarasota manatee 9 bottlenose dolphins found dead in sarasota county in 36 hours,jonsoltz,{'$date': '2018-08-09T00:00:00Z'},https://pbs.twimg.com/profile_images/1689906527/227761_10150171639634912_527829911_7013603_5908225_n_normal.jpg,Sarasota,165,No Label
#RedTide crisis is the biggest story of the year in Bradenton. I’m a biased editor/boss but ⁦@bradentonherald⁩ staffers are shining more brightly than usual in bringing it to our readers. It’s why I implore readers to #ReadLocal ⁦@mcclatchy⁩  . https   www bradenton com news local article216797315 html,MRMasferrer,{'$date': '2018-08-17T00:00:00Z'},https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg,Manatee,26,other
Red tide warnings posted at several Sarasota County beaches -  #GoogleAlerts. https   cm heraldtribune com offers reg,FloridaIssues,{'$date': '2022-12-29T00:00:00Z'},https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg,Sarasota,33,No Label
We LiVe WhErE yOu VaCaTiOn  . https   www tampabay com news environment 2021 06 09 red tide reported off pinellas county beaches. https   twitter com kathrynvarn status 1402657002367619079 photo 1,kathrynvarn,{'$date': '2021-06-09T00:00:00Z'},https://pbs.twimg.com/profile_images/1566495684932653059/HqvHHdUf_normal.jpg,Pinellas,28,No Label
"Flies swarm the coast of the seaside city of Sarasota, Florida. Crows caw. The air stinks of death. Carpets of fish, belly-up, mouths gaping, line the shore. This is the putrid... . https   qz com 1365496 floridas red tide shows that climate change isnt just dangerous its ugly",climatestate,{'$date': '2018-08-23T00:00:00Z'},https://pbs.twimg.com/profile_images/1088430075945648128/iA2we0Fi_normal.jpg,Sarasota,35,No Label
@MaxChesnes @TB_Times @SouthWings Is that John's Pass?. ,dogowner_4,{'$date': '2022-12-17T00:00:00Z'},https://pbs.twimg.com/profile_images/1558840865975590915/Z2169EW5_normal.jpg,Hillsborough,98,other
"In Sarasota right now, which was hit pretty heavily in August &amp; a bit this month w/a red tide bloom. No fish kill, but the beaches are completely empty &amp; you can still feel yourself breathing it in - out on Bradenton Beach, we’re all coughing and sneezing. . https   twitter com ajjaffe status 1056989066401628161 photo 1",ajjaffe,{'$date': '2018-10-29T00:00:00Z'},https://pbs.twimg.com/profile_images/1022581303194148864/-H-gyGJ__normal.jpg,Manatee,19,media
".@scgovEOC firefighter Curt Bowen has spent his retirement exploring caves, finding shipwrecks, and looking for lost cities. Now, he is searching for fish in Gulf waters affected by red tide, and documenting sea life.  See attached video. . http   www heraldtribune com news 20180910 bradenton diver documenting red tide effects on coastal waters",ReadCarlos,{'$date': '2018-09-11T00:00:00Z'},https://pbs.twimg.com/profile_images/1611079726767955980/Jq6x5xmU_normal.jpg,Manatee,14,media
🚨Rehabilitation &amp; return success story! 🚨 We’re so happy that three manatees who were rehabbed by the #SeaWorldOrlando team have been released in Apollo Beach by our amazing partners at @MyFWC: . https   www baynews9 com fl tampa news 2018 12 18 3 rehabbed red tide manatees released apollo beach,SeaWorld,{'$date': '2018-12-20T00:00:00Z'},https://pbs.twimg.com/profile_images/1587489715917316097/YgRXeKI__normal.jpg,Hillsborough,103,No Label
"Federal disaster loans now available to Pinellas, Pasco county businesses impacted by red tide  #10news #news #wtsp . https   www wtsp com article news red tide federal disaster loans now available to pinellas pasco county businesses impacted by red tide 67 597512847. https   twitter com brandonpromo status 1044175636061810688 photo 1",brandonpromo,{'$date': '2018-09-24T00:00:00Z'},https://pbs.twimg.com/profile_images/1133096328551120897/YBSjN_o4_normal.jpg,Pasco,0,other
"Imagine the stench.

#RedTide . https   twitter com PeterSchorschFL status 1415351096336437251 photo 1",PeterSchorschFL,{'$date': '2021-07-14T00:00:00Z'},https://pbs.twimg.com/profile_images/1608216134850846720/KPutQQoI_normal.jpg,Pinellas,27,No Label
"@StephenKing @daretothink53 #StPete, #StPeteBeach and #manatee County areas are using shrimp boats to clean up dead fish. Thanks for getting word out on both. . https   www tampabay com news environment 2021 07 22 with tampa bay in grip of red tide shrimpers turn their nets toward death",5wa,{'$date': '2021-08-03T00:00:00Z'},https://pbs.twimg.com/profile_images/1337867242529284097/2bo5T07L_normal.jpg,Manatee,75,No Label
Patchy red tide continues to intensify near Sarasota and Manatee counties . https   www heraldtribune com story news local manatee 2021 10 08 red tide blooms continue florida gulf coast warning signs posted patchy conditions fish kills 5992850001,HeraldTribune,{'$date': '2021-10-08T00:00:00Z'},https://pbs.twimg.com/profile_images/1369704378400186370/IVjDQiBD_normal.png,Manatee,14,No Label
"⚠️(RED TIDE - JULY 17)⚠️ High levels of red tide continue in Tampa Bay &amp; along many beaches from Clearwater down to Venice.  Weather patterns are about to change, which will have a large impact on who is experiencing the worst respiratory irritation &amp; fish kill (continued).. . https   twitter com weatherbryan status 1416568473271083016 photo 1",weatherbryan,{'$date': '2021-07-18T00:00:00Z'},https://pbs.twimg.com/profile_images/1376726005419761670/kYF7H8db_normal.jpg,Hillsborough,58,No Label
"Thank you, @NikkiFried.

Sarasota County residents know all too well how devastating red tide can be. @GovRonDeSantis must take concrete action to fight the current red tide crisis. . https   twitter com NikkiFriedFL status 1414675467043487751",SarasotaDems,{'$date': '2021-07-13T00:00:00Z'},https://pbs.twimg.com/profile_images/1400995591161880580/QDsMsirk_normal.jpg,Sarasota,63,No Label
@JKennedyReport @GovRonDeSantis @HeraldTribune No mention of the red tide either.  You can’t get within blocks of the beach in St Pete it stinks so much.  Literally daily tons of dead fish.. ,kjewett2,{'$date': '2021-08-03T00:00:00Z'},https://pbs.twimg.com/profile_images/1398644452/Kelly_200804c_normal.jpg,Pinellas,68,No Label
"@AndrewGillum Oh so this is Rick Scott's fault? What about the governor before him, and before that? Was it all their faults too? Our best scientists can't figure out why this is happening &amp; it's been going on for 30+ yrs but dont let that stop you from your false narrative.. ",JimmySmith300,{'$date': '2018-09-09T00:00:00Z'},https://pbs.twimg.com/profile_images/1637929652789420032/Wv-zfJXo_normal.jpg,Pinellas,73,No Label
"Good morning from Madeira Beach! There’s background to medium concentrations of the organism that causes #redtide out here, which is not enough to cause the problems we are seeing on beaches south of Manatee County @BN9 . https   twitter com angie_angers status 1033714890425413632 photo 1",angie_angers,{'$date': '2018-08-26T00:00:00Z'},https://pbs.twimg.com/profile_images/1359183461517508612/LPsYPTpE_normal.jpg,Manatee,20,No Label
"Waves of dead fish off St. Pete, Florida killed by massive red tide - 9 tons in just 24 hours! #florida #fish #stpetersburg #video #photo 

 via @Strange_Sounds . https   strangesounds org 2021 07 dead fish st pete florida tampa red tide video photo html. https   twitter com Strange_Sounds status 1414287105065369600 photo 1",Strange_Sounds,{'$date': '2021-07-11T00:00:00Z'},https://pbs.twimg.com/profile_images/1855024063/strangesounds_normal.jpg,Pinellas,35,No Label
"SW FLORIDA RED TIDE UPDATE: New sampling still confirms Moderate to High amounts for Collier, Lee, Charlotte, and Sarasota counties. Beach plans? Locally Marco Island has the lowest, but they *still* do have some. #swfl . https   twitter com MattDevittWINK status 1025018740344332289 photo 1",MattDevittWINK,{'$date': '2018-08-02T00:00:00Z'},https://pbs.twimg.com/profile_images/1242792685771128832/7y9q2Qsp_normal.jpg,Sarasota,56,No Label
Madeira Beach is going on day 7 of high concentrations of Red Tide. Thousands of dead fish line the shore. @BN9 . https   twitter com JoshRojasBN9 status 1040672777022464001 video 1,JoshRojasBN9,{'$date': '2018-09-14T00:00:00Z'},https://pbs.twimg.com/profile_images/611037751459336192/3fb34LRV_normal.jpg,Pinellas,32,No Label
Are we about to see a red tide and a bunch of dead manatees in Tampa Bay?. ,BeyondBlonde3,{'$date': '2021-04-05T00:00:00Z'},https://pbs.twimg.com/profile_images/1060741896644059136/S9mXRPzb_normal.jpg,Hillsborough,81,No Label
We've mobilized volunteers monitor for #RedTide conditions along Florida’s beaches because of a bloom in #SouthwestFlorida. Recent data indicates that the bloom is shifting toward #Pinellas County. Find out whether your beach is being impacted at ! . http   www RedTideForecast com. https   twitter com GCOOS1 status 1605200144495943681 photo 1,GCOOS1,{'$date': '2022-12-20T00:00:00Z'},https://pbs.twimg.com/profile_images/1073569233446076416/tOAuRcsp_normal.jpg,Pinellas,72,No Label
#Sarasota #Florida #Instameet 2021 #LidoBeach #Sunset #RedTide . https   twitter com tbenderphoto1 status 1417121528303468552 photo 1,tbenderphoto1,{'$date': '2021-07-19T00:00:00Z'},https://pbs.twimg.com/profile_images/3018991263/cc4c03d5b9f5c0c31112bfb5e81660a7_normal.jpeg,Sarasota,59,No Label
